CODETEAM|COMMENT|DORSAL|MARKERTIME|MINUTE|NUMBEROFPLAY|PLAYER|PLAYER_ID|PLAYINFO|PLAYTYPE|POINTS_A|POINTS_B|TEAM|TYPE|Stadium|Local|Visitor|Game
TRE       ||10|09:37|1|2|NAUMOSKI, PETAR|AHY       |Three Pointer (1/1 -  3 pt)|3FGM|3.0||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||8|09:27|1|3|MARCONATO, DENIS|AHW       |Foul (1)|CM|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||9|09:27|1|4|MEEK, ERIK|AIU       |Foul Drawn (1)|RV|||Real Madrid|0|PALAVERDE|TRE|RMA|104
RMA       ||15|09:15|1|5|ITURBE, IKER|AIS       |Missed Layup (0/1 -  0 pt)|LAYUPATT|||Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||8|09:13|1|6|MARCONATO, DENIS|AHW       |Def Rebound (1)|D|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||7|09:04|1|7|ANGULO, LUCIO|AIO       |Foul (1)|CM|||Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||5|09:04|1|8|BROWN, MARCUS|AHT       |Foul Drawn (1)|RV|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||5|08:55|2|10|BROWN, MARCUS|AHT       |Layup Made (1/1 -  2 pt)|LAYUPMD|5.0||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||11|08:35|2|11|HERREROS, ALBERTO|AIR       |Two Pointer (1/1 -  2 pt)|2FGM|5.0|2.0|Real Madrid|0|PALAVERDE|TRE|RMA|104
RMA       ||14|08:32|2|12|LOPEZ, RAUL|AIT       |Assist (1)|AS|||Real Madrid|0|PALAVERDE|TRE|RMA|104
RMA       ||11|08:30|2|13|HERREROS, ALBERTO|AIR       |Foul (1)|CM|||Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||5|08:30|2|14|BROWN, MARCUS|AHT       |Foul Drawn (2)|RV|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||5|08:30|2|15|BROWN, MARCUS|AHT       |Free Throw In (1/1 -  3 pt)|FTM|6.0|2.0|Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||5|08:30|2|16|BROWN, MARCUS|AHT       |Free Throw In (2/2 -  4 pt)|FTM|7.0|2.0|Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||11|08:16|2|17|HERREROS, ALBERTO|AIR       |Missed Three Pointer (0/1 -  2 pt)|3FGA|||Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||10|08:13|2|18|NAUMOSKI, PETAR|AHY       |Def Rebound (1)|D|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||10|08:07|2|19|NAUMOSKI, PETAR|AHY       |Turnover (1)|TO|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||15|08:07|2|20|ITURBE, IKER|AIS       |Steal (1)|ST|||Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||10|08:07|2|21|NAUMOSKI, PETAR|AHY       |Foul (1)|CM|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||14|08:07|2|22|LOPEZ, RAUL|AIT       |Foul Drawn (1)|RV|||Real Madrid|0|PALAVERDE|TRE|RMA|104
RMA       ||14|07:58|3|24|LOPEZ, RAUL|AIT       |Three Pointer (1/1 -  3 pt)|3FGM|7.0|5.0|Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||15|07:37|3|25|GARBAJOSA, JORGE|AHV       |Turnover (1)|TO|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||15|07:24|3|26|ITURBE, IKER|AIS       |Missed Three Pointer (0/1 -  0 pt)|3FGA|||Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||5|07:23|3|27|BROWN, MARCUS|AHT       |Def Rebound (1)|D|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||5|07:11|3|28|BROWN, MARCUS|AHT       |Layup Made (2/2 -  6 pt)|LAYUPMD|9.0|5.0|Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||7|07:09|3|29|PITTIS, RICCARDO|AIA       |Assist (1)|AS|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||15|06:45|4|31|ITURBE, IKER|AIS       |Turnover (1)|TO|||Real Madrid|0|PALAVERDE|TRE|RMA|104
RMA       ||9|06:28|4|32|MEEK, ERIK|AIU       |Foul (1)|CM|||Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||8|06:28|4|33|MARCONATO, DENIS|AHW       |Foul Drawn (1)|RV|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||7|06:17|4|34|PITTIS, RICCARDO|AIA       |Missed Two Pointer (0/1 -  0 pt)|2FGA|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||15|06:16|4|35|ITURBE, IKER|AIS       |Def Rebound (1)|D|||Real Madrid|0|PALAVERDE|TRE|RMA|104
RMA       ||15|06:09|4|36|ITURBE, IKER|AIS       |Turnover (2)|TO|||Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||8|06:06|4|37|MARCONATO, DENIS|AHW       |Steal (1)|ST|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||8|06:05|4|38|MARCONATO, DENIS|AHW       |Dunk (1/1 -  2 pt)|DUNK|11.0|5.0|Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||9|05:53|5|40|MEEK, ERIK|AIU       |Foul Drawn (2)|RV|||Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||15|05:53|5|41|GARBAJOSA, JORGE|AHV       |Foul (1)|CM|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||9|05:53|5|42|MEEK, ERIK|AIU       |Free Throw In (1/1 -  1 pt)|FTM|11.0|6.0|Real Madrid|0|PALAVERDE|TRE|RMA|104
RMA       ||7|05:53|5|43|ANGULO, LUCIO|AIO       |Free Throw In (1/1 -  1 pt)|FTM|11.0|7.0|Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||10|05:26|5|44|NAUMOSKI, PETAR|AHY       |Missed Two Pointer (0/1 -  3 pt)|2FGA|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||15|05:25|5|45|GARBAJOSA, JORGE|AHV       |Off Rebound (1)|O|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||8|05:18|5|46|MARCONATO, DENIS|AHW       |Missed Two Pointer (1/2 -  2 pt)|2FGA|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||14|05:14|5|47|LOPEZ, RAUL|AIT       |Def Rebound (1)|D|||Real Madrid|0|PALAVERDE|TRE|RMA|104
RMA       ||15|04:57|6|49|ITURBE, IKER|AIS       |Turnover (3)|TO|||Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||5|04:48|6|50|BROWN, MARCUS|AHT       |Assist (1)|AS|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||15|04:46|6|51|GARBAJOSA, JORGE|AHV       |Dunk (1/1 -  2 pt)|DUNK|13.0|7.0|Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||14|04:25|6|52|LOPEZ, RAUL|AIT       |Three Pointer (2/2 -  6 pt)|3FGM|13.0|10.0|Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||7|04:07|6|53|PITTIS, RICCARDO|AIA       |Turnover (1)|TO|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||7|04:07|6|54|ANGULO, LUCIO|AIO       |Steal (1)|ST|||Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||7|04:07|6|55|PITTIS, RICCARDO|AIA       |Foul (1)|CM|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||7|04:07|6|56|ANGULO, LUCIO|AIO       |Foul Drawn (1)|RV|||Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||8|04:03|6|57|MARCONATO, DENIS|AHW       |Foul (2)|CM|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||9|04:03|6|58|MEEK, ERIK|AIU       |Foul Drawn (3)|RV|||Real Madrid|0|PALAVERDE|TRE|RMA|104
RMA       ||9|04:03|6|59|MEEK, ERIK|AIU       |Free Throw In (2/2 -  2 pt)|FTM|13.0|11.0|Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||10|03:56|7|61|NAUMOSKI, PETAR|AHY       |Two Pointer (1/2 -  5 pt)|2FGM|15.0|11.0|Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||14|03:34|7|62|LOPEZ, RAUL|AIT       |Three Pointer (3/3 -  9 pt)|3FGM|15.0|14.0|Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||14|03:29|7|63|TOMIDY, ALAN|ALS       |In|IN|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||8|03:29|7|64|MARCONATO, DENIS|AHW       |Out|OUT|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||7|03:10|7|65|ANGULO, LUCIO|AIO       |Foul (2)|CM|||Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||14|03:10|7|66|TOMIDY, ALAN|ALS       |Foul Drawn (1)|RV|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||14|03:10|7|67|TOMIDY, ALAN|ALS       |Missed Free Throw (0/1 -  0 pt)|FTA|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||14|03:10|7|68|TOMIDY, ALAN|ALS       |Missed Free Throw (0/2 -  0 pt)|FTA|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||9|03:10|7|69|MEEK, ERIK|AIU       |Def Rebound (1)|D|||Real Madrid|0|PALAVERDE|TRE|RMA|104
RMA       ||15|02:57|8|71|ITURBE, IKER|AIS       |Turnover (4)|TO|||Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||14|02:57|8|72|TOMIDY, ALAN|ALS       |Steal (1)|ST|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||5|02:57|8|73|BROWN, MARCUS|AHT       |Turnover (1)|TO|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||15|02:44|8|74|ITURBE, IKER|AIS       |Missed Three Pointer (0/2 -  0 pt)|3FGA|||Real Madrid|0|PALAVERDE|TRE|RMA|104
RMA       ||11|02:44|8|75|HERREROS, ALBERTO|AIR       |Off Rebound (1)|O|||Real Madrid|0|PALAVERDE|TRE|RMA|104
RMA       ||9|02:44|8|76|MEEK, ERIK|AIU       |Foul Drawn (4)|RV|||Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||5|02:44|8|77|BROWN, MARCUS|AHT       |Foul (1)|CM|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       |||02:44|8|78||          |Time Out (1)|TOUT|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||9|02:44|8|79|MEEK, ERIK|AIU       |Free Throw In (3/3 -  3 pt)|FTM|15.0|15.0|Real Madrid|0|PALAVERDE|TRE|RMA|104
RMA       ||11|02:44|8|80|HERREROS, ALBERTO|AIR       |Assist (1)|AS|||Real Madrid|0|PALAVERDE|TRE|RMA|104
RMA       ||9|02:44|8|81|MEEK, ERIK|AIU       |Free Throw In (4/4 -  4 pt)|FTM|15.0|16.0|Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||10|02:34|8|82|NAUMOSKI, PETAR|AHY       |Foul Drawn (1)|RV|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||14|02:34|8|83|LOPEZ, RAUL|AIT       |Foul (1)|CM|||Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||10|02:34|8|84|NAUMOSKI, PETAR|AHY       |Free Throw In (1/1 -  6 pt)|FTM|16.0|16.0|Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||10|02:34|8|85|NAUMOSKI, PETAR|AHY       |Free Throw In (2/2 -  7 pt)|FTM|17.0|16.0|Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||7|02:08|8|86|ANGULO, LUCIO|AIO       |Missed Three Pointer (0/1 -  1 pt)|3FGA|||Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||10|01:59|9|88|NAUMOSKI, PETAR|AHY       |Def Rebound (2)|D|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||7|01:51|9|89|PITTIS, RICCARDO|AIA       |Turnover (2)|TO|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||7|01:39|9|90|ANGULO, LUCIO|AIO       |Layup Made (1/1 -  3 pt)|LAYUPMD|17.0|18.0|Real Madrid|0|PALAVERDE|TRE|RMA|104
RMA       ||7|01:18|9|91|ANGULO, LUCIO|AIO       |Steal (2)|ST|||Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||10|01:15|9|92|NAUMOSKI, PETAR|AHY       |Turnover (2)|TO|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||15|01:13|9|93|ITURBE, IKER|AIS       |Assist (1)|AS|||Real Madrid|0|PALAVERDE|TRE|RMA|104
RMA       ||9|01:10|9|94|MEEK, ERIK|AIU       |Dunk (1/1 -  6 pt)|DUNK|17.0|20.0|Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||14|00:58|10|96|TOMIDY, ALAN|ALS       |Turnover (1)|TO|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||14|00:55|10|97|LOPEZ, RAUL|AIT       |Steal (1)|ST|||Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||10|00:50|10|98|NAUMOSKI, PETAR|AHY       |Foul (2)|CM|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||14|00:50|10|99|LOPEZ, RAUL|AIT       |Foul Drawn (2)|RV|||Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||4|00:50|10|100|NICOLA, MARCELO|AHZ       |In|IN|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||10|00:50|10|101|NAUMOSKI, PETAR|AHY       |Out|OUT|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||14|00:50|10|102|LOPEZ, RAUL|AIT       |Missed Free Throw (0/1 -  9 pt)|FTA|||Real Madrid|0|PALAVERDE|TRE|RMA|104
RMA       ||14|00:50|10|103|LOPEZ, RAUL|AIT       |Free Throw In (1/2 -  10 pt)|FTM|17.0|21.0|Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||14|00:36|10|104|TOMIDY, ALAN|ALS       |Turnover (2)|TO|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||7|00:30|10|105|ANGULO, LUCIO|AIO       |Turnover (1)|TO|||Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||7|00:30|10|106|PITTIS, RICCARDO|AIA       |Steal (1)|ST|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||7|00:30|10|107|PITTIS, RICCARDO|AIA       |Foul Drawn (1)|RV|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||11|00:30|10|108|HERREROS, ALBERTO|AIR       |Foul (2)|CM|||Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||11|00:30|10|109|SANTOS, ISMAEL|AIB       |In|IN|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||15|00:30|10|110|GARBAJOSA, JORGE|AHV       |Out|OUT|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||7|00:30|10|112|PITTIS, RICCARDO|AIA       |Missed Free Throw (0/1 -  0 pt)|FTA|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||7|00:30|10|113|PITTIS, RICCARDO|AIA       |Free Throw In (1/2 -  1 pt)|FTM|18.0|21.0|Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||14|00:25|10|114|LOPEZ, RAUL|AIT       |Foul Drawn (3)|RV|||Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||14|00:25|10|115|TOMIDY, ALAN|ALS       |Foul (1)|CM|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||12|00:25|10|116|MILIC, MARKO|AIV       |In|IN|||Real Madrid|0|PALAVERDE|TRE|RMA|104
RMA       ||11|00:25|10|117|HERREROS, ALBERTO|AIR       |Out|OUT|||Real Madrid|0|PALAVERDE|TRE|RMA|104
RMA       ||14|00:24|10|118|LOPEZ, RAUL|AIT       |Free Throw In (2/3 -  11 pt)|FTM|18.0|22.0|Real Madrid|0|PALAVERDE|TRE|RMA|104
RMA       ||14|00:24|10|119|LOPEZ, RAUL|AIT       |Missed Free Throw (2/4 -  11 pt)|FTA|||Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||14|00:24|10|120|TOMIDY, ALAN|ALS       |Def Rebound (1)|D|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||7|00:06|10|121|PITTIS, RICCARDO|AIA       |Missed Three Pointer (0/1 -  1 pt)|3FGA|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||12|00:04|10|122|MILIC, MARKO|AIV       |Def Rebound (1)|D|||Real Madrid|0|PALAVERDE|TRE|RMA|104
RMA       ||12|00:02|10|124|MILIC, MARKO|AIV       |Missed Three Pointer (0/1 -  0 pt)|3FGA|||Real Madrid|0|PALAVERDE|TRE|RMA|104
          ||||11|126||          |End Period|EP||||0|PALAVERDE|TRE|RMA|104
RMA       ||4|09:00|11|127|ANGULO, ALBERTO|AIN       |In|IN|||Real Madrid|0|PALAVERDE|TRE|RMA|104
RMA       ||6|09:00|11|128|DJORDJEVIC, ALEKSANDAR|AIP       |In|IN|||Real Madrid|0|PALAVERDE|TRE|RMA|104
RMA       ||5|09:00|11|129|STRUELENS, ERIC|AIX       |In|IN|||Real Madrid|0|PALAVERDE|TRE|RMA|104
RMA       ||14|09:00|11|130|LOPEZ, RAUL|AIT       |Out|OUT|||Real Madrid|0|PALAVERDE|TRE|RMA|104
RMA       ||7|09:00|11|131|ANGULO, LUCIO|AIO       |Out|OUT|||Real Madrid|0|PALAVERDE|TRE|RMA|104
RMA       ||15|09:00|11|132|ITURBE, IKER|AIS       |Out|OUT|||Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||12|09:00|11|133|NACHBAR, BOSTJAN|AHX       |In|IN|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||7|09:00|11|134|PITTIS, RICCARDO|AIA       |Out|OUT|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||5|09:43|11|135|BROWN, MARCUS|AHT       |Three Pointer (1/1 -  9 pt)|3FGM|21.0|22.0|Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||5|09:14|11|136|STRUELENS, ERIC|AIX       |Missed Layup (0/1 -  0 pt)|LAYUPATT|||Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||5|09:12|11|137|BROWN, MARCUS|AHT       |Def Rebound (2)|D|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||5|09:10|11|138|BROWN, MARCUS|AHT       |Layup Made (3/3 -  11 pt)|LAYUPMD|23.0|22.0|Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||12|08:44|12|140|NACHBAR, BOSTJAN|AHX       |Foul (1)|CM|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||4|08:44|12|141|ANGULO, ALBERTO|AIN       |Foul Drawn (1)|RV|||Real Madrid|0|PALAVERDE|TRE|RMA|104
RMA       ||5|08:28|12|142|STRUELENS, ERIC|AIX       |Two Pointer (1/2 -  2 pt)|2FGM|23.0|24.0|Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||14|08:11|12|143|TOMIDY, ALAN|ALS       |Layup Made (1/1 -  2 pt)|LAYUPMD|25.0|24.0|Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||6|07:45|13|145|DJORDJEVIC, ALEKSANDAR|AIP       |Missed Two Pointer (0/1 -  0 pt)|2FGA|||Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||12|07:39|13|146|NACHBAR, BOSTJAN|AHX       |Def Rebound (1)|D|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||12|07:34|13|147|NACHBAR, BOSTJAN|AHX       |Turnover (1)|TO|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       |||07:33|13|148||          |Time Out (1)|TOUT|||Real Madrid|0|PALAVERDE|TRE|RMA|104
RMA       ||6|07:08|13|149|DJORDJEVIC, ALEKSANDAR|AIP       |Turnover (1)|TO|||Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||4|07:07|13|150|NICOLA, MARCELO|AHZ       |Steal (1)|ST|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||14|06:53|14|152|TOMIDY, ALAN|ALS       |Missed Layup (1/2 -  2 pt)|LAYUPATT|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||4|06:50|14|153|NICOLA, MARCELO|AHZ       |Off Rebound (1)|O|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||4|06:50|14|154|NICOLA, MARCELO|AHZ       |Layup Made (1/1 -  2 pt)|LAYUPMD|27.0|24.0|Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||4|06:37|14|155|ANGULO, ALBERTO|AIN       |Three Pointer (1/1 -  3 pt)|3FGM|27.0|27.0|Real Madrid|0|PALAVERDE|TRE|RMA|104
RMA       ||5|06:35|14|156|STRUELENS, ERIC|AIX       |Assist (1)|AS|||Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||12|06:28|14|157|NACHBAR, BOSTJAN|AHX       |Missed Layup (0/1 -  0 pt)|LAYUPATT|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||5|06:26|14|158|STRUELENS, ERIC|AIX       |Def Rebound (1)|D|||Real Madrid|0|PALAVERDE|TRE|RMA|104
RMA       ||12|06:20|14|159|MILIC, MARKO|AIV       |Layup Made (1/1 -  2 pt)|LAYUPMD|27.0|29.0|Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||12|05:43|15|161|NACHBAR, BOSTJAN|AHX       |Turnover (2)|TO|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||12|05:43|15|162|MILIC, MARKO|AIV       |Steal (1)|ST|||Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||12|05:43|15|165|NACHBAR, BOSTJAN|AHX       |Unsportsmanlike Foul  (2)|CMU|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||12|05:43|15|166|MILIC, MARKO|AIV       |Foul Drawn (1)|RV|||Real Madrid|0|PALAVERDE|TRE|RMA|104
RMA       ||12|05:43|15|167|MILIC, MARKO|AIV       |Missed Free Throw (0/1 -  2 pt)|FTA|||Real Madrid|0|PALAVERDE|TRE|RMA|104
