Player;G;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Team;Season
Jayson Granger;31;21.6;3.4;7.8;440;1.5;3.7;405;1.9;4.0;472;0.9;1.2;737;0.2;1.7;1.9;5.1;0.5;0.0;2.0;1.4;9.3;Baskonia Vitoria Gasteiz;18
Marcelinho Huertas;29;16.6;2.0;4.8;414;0.7;1.5;432;1.3;3.3;406;1.2;1.3;921;0.2;0.8;1.0;3.6;0.1;0.0;1.5;1.6;5.9;Baskonia Vitoria Gasteiz;18
Ilimane Diop;25;9.5;1.2;2.2;537;0.1;0.3;286;1.1;1.9;574;1.1;1.4;778;0.7;1.0;1.6;0.3;0.1;0.4;0.4;2.0;3.5;Baskonia Vitoria Gasteiz;18
Luca Vildoza;24;13.2;1.5;3.5;422;0.9;2.1;412;0.6;1.3;438;0.7;1.0;696;0.2;1.0;1.3;2.0;0.5;0.1;1.5;2.0;4.5;Baskonia Vitoria Gasteiz;18
Patricio Garino;23;15.1;1.6;3.3;468;0.3;1.0;273;1.3;2.4;545;1.1;1.3;839;0.3;1.3;1.7;0.7;1.0;0.1;1.0;1.6;4.5;Baskonia Vitoria Gasteiz;18
Kevin Jones;11;14.3;1.9;3.7;512;0.6;1.8;350;1.3;1.9;667;0.3;0.4;750;0.7;1.7;2.5;0.5;0.4;0.3;0.1;1.1;4.7;Baskonia Vitoria Gasteiz;18
Rinalds Malmanis;11;12.0;0.8;2.0;409;0.3;0.7;375;0.5;1.3;429;0.5;0.7;750;0.5;1.4;1.9;0.6;0.4;0.1;0.2;2.2;2.5;Baskonia Vitoria Gasteiz;18
Jordan McRae;3;15.3;1.3;5.7;235;0.3;2.0;167;1.0;3.7;273;2.0;2.3;857;0.3;0.7;1.0;0.7;0.7;0.7;0.3;0.7;5.0;Baskonia Vitoria Gasteiz;18
Carlos Delfino;2;5.0;0.0;0.5;0;0.0;0.5;0;0.0;0.0;0;0.0;0.0;0;0.0;1.0;1.0;0.0;0.0;0.0;0.5;0.0;0.0;Baskonia Vitoria Gasteiz;18
Miguel Gonzalez;2;4.0;0.5;0.5;1000;0.5;0.5;1000;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;1.5;Baskonia Vitoria Gasteiz;18
Ivan Martinez;2;3.0;0.0;1.5;0;0.0;1.0;0;0.0;0.5;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Baskonia Vitoria Gasteiz;18
Alexey Shved;34;32.2;7.0;17.3;407;3.1;9.5;330;3.9;7.7;502;4.6;5.6;820;0.2;2.4;2.6;5.2;1.3;0.2;3.1;1.9;21.8;Khimki Moscow Region;18
Charles Jenkins;34;21.4;1.9;4.2;455;1.1;2.4;451;0.8;1.8;459;0.6;0.8;769;0.4;1.2;1.7;1.7;0.9;0.1;0.7;3.1;5.5;Khimki Moscow Region;18
Malcolm Thomas;34;21.4;2.9;5.5;532;0.3;1.2;268;2.6;4.3;607;1.2;1.7;712;2.2;2.8;4.9;1.4;0.8;0.4;0.8;2.1;7.4;Khimki Moscow Region;18
Stefan Markovic;33;23.7;1.6;5.0;317;0.8;2.8;266;0.8;2.1;386;1.1;1.3;841;0.4;1.9;2.3;3.8;1.3;0.1;1.5;2.4;5.0;Khimki Moscow Region;18
Anthony Gill;32;25.9;4.2;7.1;588;1.0;2.2;478;3.2;5.0;635;2.3;3.2;743;1.5;3.0;4.5;1.0;0.5;0.6;1.3;2.8;11.8;Khimki Moscow Region;18
Sergey Monia;32;12.4;1.1;2.7;419;0.8;1.9;393;0.4;0.8;480;0.2;0.2;857;0.5;0.9;1.4;1.2;0.3;0.4;0.5;1.7;3.2;Khimki Moscow Region;18
James Anderson;31;21.8;3.4;7.5;455;1.3;3.8;345;2.1;3.6;571;1.1;1.3;875;0.5;2.3;2.8;1.3;0.6;0.3;0.9;2.3;9.2;Khimki Moscow Region;18
Egor Vialtsev;30;11.6;1.2;2.8;440;0.9;2.1;419;0.4;0.7;500;0.6;0.7;864;0.2;0.7;0.9;0.7;0.3;0.0;0.6;1.8;4.0;Khimki Moscow Region;18
Marko Todorovic;27;10.4;1.2;2.1;561;0.0;0.0;0;1.2;2.1;561;0.3;0.5;571;0.8;1.3;2.1;0.6;0.3;0.4;0.7;2.1;2.7;Khimki Moscow Region;18
Thomas Robinson;20;15.6;3.5;7.1;486;0.0;0.1;0;3.5;7.1;489;1.3;3.0;417;2.5;3.4;5.9;0.4;0.7;0.6;1.1;2.6;8.2;Khimki Moscow Region;18
Vyacheslav Zaytsev;20;5.2;0.3;0.9;278;0.1;0.5;200;0.2;0.4;375;0.2;0.2;1000;0.1;0.4;0.5;0.6;0.1;0.2;0.3;1.2;0.8;Khimki Moscow Region;18
Tyler Honeycutt;17;21.2;3.2;6.8;474;1.5;3.1;491;1.7;3.7;460;1.2;1.4;870;0.9;4.5;5.4;1.8;1.1;0.7;1.5;1.5;9.2;Khimki Moscow Region;18
Andrey Zubkov;15;10.3;1.2;2.9;409;0.4;1.2;333;0.8;1.7;462;0.3;0.7;455;0.4;1.5;1.9;0.3;0.1;0.0;0.5;1.3;3.1;Khimki Moscow Region;18
Dimitri Sokolov;2;3.0;0.5;0.5;1000;0.0;0.0;0;0.5;0.5;1000;0.5;1.0;500;0.5;0.0;0.5;0.0;0.0;0.0;0.5;1.0;1.5;Khimki Moscow Region;18
Chris Singleton;34;30.2;3.0;6.8;435;1.7;3.8;461;1.2;3.1;404;2.6;3.6;732;1.0;4.8;5.8;1.1;1.0;0.7;1.6;3.4;10.3;Panathinaikos Superfoods Athens;18
James Gist;34;25.4;3.9;7.1;546;0.4;1.4;250;3.5;5.6;620;1.8;2.6;674;1.9;2.5;4.4;1.0;0.8;0.4;1.1;3.0;9.8;Panathinaikos Superfoods Athens;18
Kenny Gabriel;33;11.3;1.1;2.8;383;0.6;2.0;288;0.5;0.8;607;0.1;0.4;333;0.8;1.6;2.4;0.2;0.3;0.3;0.3;1.9;2.9;Panathinaikos Superfoods Athens;18
Thanasis Antetokounmpo;33;11.3;1.4;2.7;528;0.1;0.4;286;1.3;2.3;573;0.6;1.1;583;0.8;1.4;2.2;0.4;0.3;0.3;0.4;1.9;3.6;Panathinaikos Superfoods Athens;18
Ian Vouyoukas;33;8.2;1.2;2.0;631;0.0;0.0;0;1.2;2.0;631;1.2;1.5;784;0.6;1.0;1.6;0.4;0.2;0.2;0.7;1.7;3.7;Panathinaikos Superfoods Athens;18
Nikos Pappas;32;17.6;2.8;6.5;423;0.9;2.7;326;1.9;3.8;492;1.8;2.4;776;0.2;0.9;1.1;0.9;0.6;0.0;1.2;2.0;8.2;Panathinaikos Superfoods Athens;18
Nick Calathes;31;29.0;5.8;12.2;476;1.1;3.7;293;4.7;8.5;557;1.8;3.2;576;0.6;3.2;3.8;8.0;1.7;0.1;2.3;2.6;14.5;Panathinaikos Superfoods Athens;18
K.C. Rivers;31;23.4;3.0;7.4;409;1.7;4.8;358;1.3;2.6;500;0.7;1.0;656;0.7;2.0;2.7;0.8;1.1;0.1;0.7;2.0;8.5;Panathinaikos Superfoods Athens;18
Lukas Lekavicius;31;12.7;1.4;2.9;473;0.5;1.1;486;0.8;1.8;464;0.5;0.6;895;0.3;0.7;1.0;1.5;0.2;0.0;0.9;1.3;3.9;Panathinaikos Superfoods Athens;18
Marcus Denmon;28;13.0;1.9;4.6;408;1.3;3.0;417;0.6;1.6;391;0.5;0.6;833;0.3;0.5;0.8;1.0;0.5;0.1;0.6;1.3;5.6;Panathinaikos Superfoods Athens;18
Matt Lojeski;27;18.7;2.1;4.7;460;1.1;2.4;455;1.0;2.2;467;0.3;0.4;700;0.5;1.9;2.4;0.7;0.3;0.1;0.6;1.6;5.7;Panathinaikos Superfoods Athens;18
Zach Auguste;14;5.8;0.7;1.1;625;0.0;0.0;0;0.7;1.1;625;0.1;0.6;111;0.6;0.7;1.4;0.1;0.2;0.2;0.6;1.3;1.5;Panathinaikos Superfoods Athens;18
Mike James;12;25.5;6.3;13.1;478;1.3;5.2;242;5.0;7.9;632;2.4;3.4;707;0.3;2.4;2.8;4.1;1.3;0.1;1.3;2.3;16.2;Panathinaikos Superfoods Athens;18
Adreian Payne;12;9.9;1.8;3.6;512;0.0;0.4;0;1.8;3.2;579;1.1;2.0;542;1.4;1.4;2.8;0.2;0.3;0.2;1.0;1.9;4.8;Panathinaikos Superfoods Athens;18
Dinos Mitoglou;4;3.0;0.0;1.0;0;0.0;0.5;0;0.0;0.5;0;0.8;1.5;500;0.5;0.3;0.8;0.5;0.3;0.0;0.0;0.5;0.8;Panathinaikos Superfoods Athens;18
Georgios Kalaitzakis;1;0.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Panathinaikos Superfoods Athens;18
Ray McCallum;30;21.5;3.6;8.5;422;0.6;2.1;286;3.0;6.4;466;1.4;2.2;627;0.6;1.7;2.3;2.7;0.9;0.2;1.5;1.6;9.2;Unicaja Malaga;18
Alberto Diaz;30;19.1;1.3;3.8;345;0.8;2.5;307;0.5;1.3;421;0.5;0.6;778;0.4;1.2;1.6;2.5;0.8;0.0;0.9;2.7;3.8;Unicaja Malaga;18
Carlos Suarez;30;19.0;1.5;3.8;389;0.6;1.8;352;0.8;2.0;424;1.8;2.2;846;1.1;2.4;3.5;2.2;0.4;0.1;1.0;1.3;5.4;Unicaja Malaga;18
James Augustine;29;23.3;4.2;6.6;642;0.0;0.2;0;4.2;6.3;667;0.8;1.3;564;3.0;3.7;6.7;1.4;1.0;0.5;0.6;1.9;9.2;Unicaja Malaga;18
Sasu Salin;28;15.9;1.7;5.4;318;1.1;3.8;305;0.6;1.6;348;0.5;0.6;722;0.4;1.3;1.7;1.3;0.5;0.0;1.0;1.6;5.0;Unicaja Malaga;18
Adam Waczynski;27;18.9;3.6;7.1;500;1.9;3.8;495;1.7;3.3;506;1.1;1.3;829;0.9;1.4;2.3;1.1;0.7;0.0;1.0;1.7;10.1;Unicaja Malaga;18
Dragan Milosavljevic;27;18.5;2.3;5.6;417;0.7;2.0;333;1.7;3.6;464;1.1;1.4;769;0.9;1.7;2.6;1.0;0.5;0.1;1.1;1.6;6.4;Unicaja Malaga;18
Jeff Brooks;26;22.9;3.5;6.9;500;0.7;1.7;395;2.8;5.3;533;1.2;1.6;780;1.8;2.5;4.3;1.0;0.6;0.4;0.9;1.8;8.8;Unicaja Malaga;18
Nemanja Nedovic;24;25.1;5.6;13.0;429;2.3;6.3;358;3.3;6.7;497;3.4;4.0;845;0.4;1.5;2.0;4.8;0.6;0.1;2.2;1.6;16.8;Unicaja Malaga;18
Giorgi Shermadini;23;14.4;2.0;4.3;470;0.0;0.0;0;2.0;4.3;475;2.4;3.3;747;1.3;2.2;3.5;0.5;0.3;0.5;1.3;1.7;6.5;Unicaja Malaga;18
Daniel Diez;23;13.6;1.7;3.4;487;0.5;1.5;343;1.1;1.9;605;0.3;0.4;800;0.6;1.5;2.1;0.8;0.3;0.0;0.3;0.8;4.2;Unicaja Malaga;18
Morayo Soluade;11;10.4;0.9;2.7;333;0.4;1.6;222;0.5;1.1;500;0.0;0.0;0;0.1;0.6;0.7;1.4;0.6;0.3;1.1;1.1;2.2;Unicaja Malaga;18
Viny Okouo;11;9.0;0.7;1.7;421;0.0;0.0;0;0.7;1.7;421;1.2;1.8;650;0.6;1.3;1.9;0.0;0.1;0.5;0.5;1.8;2.6;Unicaja Malaga;18
Dejan Musli;9;11.2;2.1;3.7;576;0.0;0.0;0;2.1;3.7;576;1.2;2.2;550;0.8;1.9;2.7;0.4;0.0;0.3;0.9;0.7;5.4;Unicaja Malaga;18
Ignacio Rosa;1;0.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Unicaja Malaga;18
Deandre Kane;30;23.4;2.9;5.7;512;0.4;1.3;289;2.6;4.5;575;1.1;2.2;515;1.4;2.6;4.0;2.1;0.9;0.3;1.2;2.0;7.4;Maccabi FOX Tel Aviv;18
Alex Tyus;30;20.0;3.7;6.0;617;0.0;0.0;0;3.7;6.0;617;0.9;1.9;491;2.2;2.8;5.0;0.2;0.5;1.0;0.6;1.6;8.3;Maccabi FOX Tel Aviv;18
Artsiom Parakhouski;30;16.2;3.1;5.0;631;0.0;0.0;0;3.1;5.0;631;1.4;2.0;695;1.9;2.0;3.9;0.3;0.5;1.0;0.8;2.5;7.6;Maccabi FOX Tel Aviv;18
Michael Roll;29;26.2;3.3;7.1;471;1.1;2.6;408;2.3;4.5;508;1.4;1.6;889;0.3;1.8;2.1;2.9;0.3;0.1;0.9;1.6;9.1;Maccabi FOX Tel Aviv;18
Pierre Jackson;29;25.6;4.6;11.2;410;1.9;5.1;367;2.7;6.1;446;3.4;4.0;862;0.4;2.5;2.9;4.2;1.0;0.0;2.7;2.5;14.5;Maccabi FOX Tel Aviv;18
Jonah Bolden;29;21.1;2.7;5.4;487;0.8;2.5;319;1.9;3.0;628;0.8;1.5;512;1.2;4.3;5.5;1.6;1.2;0.9;1.0;2.3;6.9;Maccabi FOX Tel Aviv;18
Norris Cole;28;24.6;4.7;11.3;418;0.8;2.5;319;3.9;8.8;445;2.4;2.9;817;0.1;2.4;2.5;3.8;1.1;0.1;2.1;2.7;12.6;Maccabi FOX Tel Aviv;18
Deshaun Thomas;28;24.3;4.5;10.2;446;1.3;3.1;425;3.2;7.1;455;1.1;1.6;689;0.9;2.4;3.3;1.2;0.5;0.1;0.9;1.3;11.5;Maccabi FOX Tel Aviv;18
John DiBartolomeo;28;12.9;1.0;3.2;326;0.5;1.8;286;0.5;1.4;375;0.8;0.9;808;0.4;1.2;1.6;1.4;0.5;0.0;0.4;1.8;3.3;Maccabi FOX Tel Aviv;18
Jake Cohen;19;7.6;0.7;1.6;452;0.2;0.4;500;0.5;1.2;435;0.4;0.5;778;0.5;1.1;1.6;0.2;0.1;0.0;0.2;1.3;2.1;Maccabi FOX Tel Aviv;18
Yovel Zoosman;14;8.1;0.6;1.4;450;0.3;0.8;364;0.4;0.6;556;0.2;0.2;1000;0.2;0.6;0.8;0.6;0.3;0.1;0.4;0.9;1.8;Maccabi FOX Tel Aviv;18
Itay Segev;9;8.0;0.6;2.0;278;0.0;0.1;0;0.6;1.9;294;0.6;1.4;385;0.8;1.1;1.9;0.3;0.4;0.0;0.4;1.0;1.7;Maccabi FOX Tel Aviv;18
Karam Mashour;6;6.8;0.7;2.2;308;0.0;0.7;0;0.7;1.5;444;0.2;0.3;500;0.7;1.3;2.0;0.2;0.0;0.2;0.0;1.3;1.5;Maccabi FOX Tel Aviv;18
Will Thomas;30;23.6;2.3;4.9;473;0.5;1.7;288;1.8;3.1;574;1.1;1.4;744;1.2;2.3;3.6;1.1;0.8;0.1;0.5;1.5;6.2;Valencia Basket;18
Aaron Doornekamp;30;22.3;1.8;5.2;344;1.1;3.3;330;0.7;1.9;368;1.2;1.5;804;0.8;3.0;3.8;1.5;0.8;0.3;0.6;2.2;5.9;Valencia Basket;18
Tibor Pleiss;29;19.3;4.1;7.2;565;0.2;0.3;500;3.9;6.9;568;1.8;2.2;797;1.6;3.7;5.2;0.6;0.4;1.1;1.2;2.4;10.1;Valencia Basket;18
Rafa Martinez;29;15.4;2.1;4.3;484;1.2;2.7;442;0.9;1.6;553;1.6;1.9;870;0.4;0.9;1.3;1.3;0.5;0.0;0.8;1.6;6.9;Valencia Basket;18
Erick Green;28;24.6;4.5;10.1;445;1.5;3.7;417;3.0;6.4;461;3.9;4.3;900;0.3;1.4;1.7;1.7;0.8;0.0;1.0;1.3;14.4;Valencia Basket;18
Alberto Abalde;25;19.1;2.8;5.7;497;1.1;2.2;519;1.7;3.6;483;0.8;0.9;870;0.5;1.6;2.1;1.7;0.3;0.0;1.3;1.8;7.6;Valencia Basket;18
Sam Van Rossom;24;21.6;2.4;5.3;449;1.4;3.4;420;1.0;1.9;500;1.0;1.2;857;0.5;1.5;2.0;4.0;0.3;0.0;1.8;1.9;7.2;Valencia Basket;18
Bojan Dubljevic;24;20.2;3.7;7.9;471;1.0;2.6;371;2.8;5.3;520;2.4;2.9;814;1.5;3.4;5.0;1.4;0.5;0.1;1.4;2.3;10.8;Valencia Basket;18
Fernando San Emeterio;20;22.2;3.4;7.6;450;1.5;3.6;403;2.0;4.0;494;1.2;1.5;793;0.3;2.5;2.8;2.3;0.3;0.0;1.6;1.5;9.4;Valencia Basket;18
Joan Sastre;18;20.9;1.9;4.3;455;1.0;2.2;462;0.9;2.1;447;0.7;0.8;800;0.8;1.4;2.3;2.0;0.6;0.2;1.4;1.8;5.6;Valencia Basket;18
Guillem Vives;16;18.4;1.5;3.9;387;1.1;3.1;360;0.4;0.8;500;0.3;0.3;1000;0.4;1.3;1.8;3.7;0.6;0.3;1.1;2.9;4.4;Valencia Basket;18
Damjan Rudez;11;11.5;1.1;3.1;353;0.7;1.9;381;0.4;1.2;308;0.1;0.1;1000;0.2;0.8;1.0;0.9;0.1;0.1;0.7;1.5;3.0;Valencia Basket;18
Tryggvi Hlinason;11;8.2;1.3;2.0;636;0.0;0.0;0;1.3;2.0;636;0.5;1.1;417;0.8;1.1;1.9;0.2;0.3;0.7;0.3;1.1;3.0;Valencia Basket;18
Josep Puerto;10;3.2;0.3;0.8;375;0.0;0.1;0;0.3;0.7;429;0.3;0.4;750;0.1;0.3;0.4;0.1;0.1;0.1;0.0;0.1;0.9;Valencia Basket;18
Sergi Garcia;8;13.0;1.6;3.8;433;0.8;2.0;375;0.9;1.8;500;0.4;0.4;1000;0.6;0.5;1.1;1.5;0.3;0.0;1.0;1.6;4.4;Valencia Basket;18
Latavious Williams;4;8.0;1.5;2.3;667;0.0;0.3;0;1.5;2.0;750;0.3;0.3;1000;0.5;0.8;1.3;0.3;0.0;0.0;0.5;1.5;3.3;Valencia Basket;18
